Ticker,SecurityType,Name,Sector,Industry,Country,Currency,Date,Close
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-11-30,42.49101257324219
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2018-12-31,37.53239059448242
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-01-31,39.60245132446289
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-02-28,41.37570571899414
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-03-29,45.390201568603516
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-04-30,47.951847076416016
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-05-31,41.99561309814453
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-06-28,47.47684097290039
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-07-31,51.10380935668945
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-08-30,50.26258087158203
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-09-30,53.9298210144043
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-10-31,59.89900588989258
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-11-29,64.54442596435547
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2019-12-31,70.92037200927734
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-01-31,74.75078582763672
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-02-28,66.1767578125
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-03-31,61.56016540527344
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-04-30,71.125
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-05-29,77.17733001708984
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-06-30,88.55218505859375
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-07-31,103.17496490478516
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-08-31,125.51950073242188
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-09-30,112.65042877197266
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-10-30,105.89006042480469
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-11-30,116.0018310546875
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2020-12-31,129.29258728027344
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-01-29,128.58128356933594
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-02-26,118.33182525634766
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-03-31,119.20033264160156
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-04-30,128.28550720214844
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-05-28,121.8074722290039
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-06-30,133.8797149658203
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-07-30,142.57957458496094
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-08-31,148.63763427734375
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-09-30,138.5248565673828
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-10-29,146.6503143310547
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-11-30,162.06060791015625
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2021-12-31,174.09014892578125
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2022-01-31,171.3548126220703
AAPL,EQUITY,Apple Inc.,Technology,Consumer Electronics,United States,USD,2022-02-28,162.0903778076172
